iter	Passed	Remaining
0	169	203458
1	236	141673
2	302	120745
3	369	110335
4	436	104214
5	501	99843
6	567	96716
7	633	94403
8	699	92625
9	766	91191
10	832	90037
11	898	88952
12	964	88100
13	1031	87385
14	1098	86768
15	1165	86283
16	1232	85757
17	1299	85305
18	1365	84872
19	1432	84503
20	1498	84122
21	1564	83796
22	1631	83501
23	1697	83179
24	1764	82929
25	1832	82765
26	1898	82500
27	1965	82266
28	2031	82028
29	2097	81803
30	2164	81618
31	2230	81415
32	2296	81205
33	2365	81138
34	2432	80955
35	2498	80772
36	2564	80618
37	2630	80434
38	2696	80279
39	2762	80116
40	2828	79966
41	2895	79825
42	2961	79693
43	3027	79541
44	3093	79404
45	3160	79275
46	3225	79137
47	3292	79016
48	3358	78893
49	3424	78773
50	3491	78652
51	3557	78528
52	3623	78414
53	3689	78307
54	3757	78214
55	3823	78102
56	3889	77987
57	3955	77873
58	4021	77773
59	4088	77689
60	4154	77577
61	4220	77468
62	4286	77364
63	4352	77250
64	4418	77147
65	4485	77072
66	4552	76988
67	4618	76891
68	4685	76798
69	4751	76696
70	4817	76605
71	4883	76510
72	4949	76412
73	5015	76310
74	5081	76217
75	5147	76122
76	5213	76036
77	5279	75948
78	5347	75874
79	5413	75792
80	5481	75722
81	5547	75630
82	5613	75540
83	5679	75458
84	5745	75372
85	5814	75320
86	5881	75241
87	5948	75171
88	6015	75091
89	6081	75007
90	6149	74943
91	6216	74866
92	6282	74784
93	6348	74695
94	6414	74611
95	6479	74519
96	6545	74432
97	6611	74349
98	6679	74287
99	6745	74200
100	6811	74121
101	6878	74040
102	6943	73956
103	7009	73873
104	7077	73809
105	7144	73736
106	7214	73692
107	7280	73615
108	7346	73534
109	7413	73456
110	7479	73376
111	7545	73298
112	7611	73215
113	7677	73141
114	7743	73059
115	7811	72992
116	7877	72915
117	7943	72841
118	8009	72760
119	8076	72686
120	8143	72618
121	8209	72540
122	8275	72457
123	8341	72382
124	8407	72306
125	8473	72229
126	8540	72157
127	8606	72081
128	8673	72006
129	8740	71940
130	8807	71874
131	8875	71811
132	8941	71735
133	9007	71659
134	9074	71585
135	9140	71511
136	9206	71436
137	9273	71361
138	9340	71297
139	9407	71224
140	9472	71143
141	9539	71079
142	9606	71004
143	9672	70931
144	9738	70856
145	9804	70782
146	9870	70704
147	9936	70628
